location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
4837116,"PHA Office","relativehumidity",46.56258318159316,"%","2025-11-13T14:00:00Z","2025-11-13T19:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",48.84416675567627,"%","2025-11-13T15:00:00Z","2025-11-13T20:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",50.21370846430461,"%","2025-11-13T16:00:00Z","2025-11-13T21:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",51.457166798909505,"%","2025-11-13T17:00:00Z","2025-11-13T22:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",52.393333498636885,"%","2025-11-13T18:00:00Z","2025-11-13T23:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",51.37183361053467,"%","2025-11-13T19:00:00Z","2025-11-14T00:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",51.68666680653891,"%","2025-11-13T20:00:00Z","2025-11-14T01:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",51.375166447957355,"%","2025-11-13T21:00:00Z","2025-11-14T02:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",51.912499872843426,"%","2025-11-13T22:00:00Z","2025-11-14T03:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",52.70509088689631,"%","2025-11-13T23:00:00Z","2025-11-14T04:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","relativehumidity",54.00699977874756,"%","2025-11-14T00:00:00Z","2025-11-14T05:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","temperature",17.691833496093746,"c","2025-11-13T01:00:00Z","2025-11-13T06:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","temperature",17.295999749501547,"c","2025-11-13T02:00:00Z","2025-11-13T07:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","temperature",17.91983331044515,"c","2025-11-13T03:00:00Z","2025-11-13T08:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","temperature",20.119166628519693,"c","2025-11-13T04:00:00Z","2025-11-13T09:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","temperature",22.172166601816812,"c","2025-11-13T05:00:00Z","2025-11-13T10:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
